Year_of_prod,Season,Episode Number,Episode_Title,Duration,Director,Stars,Votes,Full Summary,Chandler,Joey,Ross,Rachel,Phoebe,Monica,The Gang,Summary1,Summary2,Summary3,Summary4,Summary5,Summary6,Summary7,Summary8,Summary9,Summary10,Summary11,Summary12,Summary13,Summary14,Summary15,Summary16,Summary17,Summary18,Summary19,Summary20,Summary21,Summary22,Summary23,Summary24,Summary25,Summary26,Summary27,Summary28,Summary29,Summary30,Summary31,Summary32,Summary33,Summary34,Summary35,Summary36,Summary37,Summary38,Summary39,Summary40,Summary41,Summary42,Summary43,Summary44,Summary45,Summary46,Summary47,Summary48,Summary49,Summary50,Summary51,Summary52
1999,6,10,The One with the Routine,22,Kevin Bright,8.6,3139,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",1,1,1,1,1,2,0,,,,,,Joey,,,,,,,,Monica,,Ross,,,,,,,,,Rachel,Phoebe,,Chandler,,,Monica,,,,,,,,,,,,,,,,,,,,,
2000,6,11,The One with the Apothecary Table,22,Kevin Bright,8.1,2892,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",1,1,0,1,1,1,0,Joey,,,,,,,,,,,,,Monica,,Chandler,,Rachel,,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,12,The One with the Joke,22,Gary Halvorson,8.1,2829,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",1,1,1,1,1,1,0,Chandler,,Ross,,,,,,Joey,,,,,,,,,,Monica,,,,Phoebe,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,13,The One with Rachel's Sister,22,Gary Halvorson,8.2,2950,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",0,0,1,1,0,1,0,Rachel,,,,,,,,,,,,,Ross,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,14,The One Where Chandler Can't Cry,22,Kevin Bright,8.6,2996,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",1,0,1,1,2,1,1,Rachel,,,,,,,Ross,,,,Chandler,,,,,,Monica,,,,,,,The Gang,,,Phoebe,,,,,,,,,,Phoebe,,,,,,,,,,,,,,
2000,6,15,The One That Could Have Been,30,Michael Lembeck,8.5,3097,"When Rachel hears Barry and Mindy are getting divorced, the gang wonder how different their lives could have been.",0,0,0,1,0,0,1,,Rachel,,,,,,,,,The Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,16,The One That Could Have Been,30,Michael Lembeck,8.5,3037,The gang continue to think about how different their lives could have been.,0,0,0,0,0,0,1,,The Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,17,The One with Unagi,22,Gary Halvorson,9.1,4180,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,1,1,0,1,1,1,0,Rachel,,Phoebe,,,,Chandler,,Monica,,,,,,,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,18,The One Where Ross Dates a Student,22,Gary Halvorson,8.3,2870,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,0,0,1,1,1,0,0,Ross,,,,,,,,,,,,,,,,Rachel,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,19,The One with Joey's Fridge,22,Ben Weiss,8.3,2920,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,1,1,1,1,1,1,0,Joey,,,,,,,,,,,Ross,,,,,,,,,,Monica,,Chandler,,,Phoebe,,,Rachel,,,,,,,,,,,,,,,,,,,,,,
2000,6,20,The One with Mac and C.H.E.E.S.E.,22,Kevin Bright,7.4,3096,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,1,1,0,0,0,0,0,Chandler,,,,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,21,The One Where Ross Meets Elizabeth's Dad,22,Michael Lembeck,8.6,3063,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",1,1,1,0,1,1,0,,,,,,,,Ross,Joey,,,,,,,,,,,,,Phoebe,,,,,,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,
2000,6,22,The One Where Paul's the Man,22,Gary Halvorson,9,3578,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.,0,0,1,0,0,0,0,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,23,The One with the Ring,22,Gary Halvorson,8.6,2980,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,1,0,0,1,1,1,0,Chandler,,Phoebe,,,,,,,,Monica,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,24,The One with the Proposal,30,Kevin Bright,8.8,3065,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,1,1,1,0,0,1,0,Chandler,,,,,Monica,,,,,,,Joey,,,,,,,,,Ross,,,,,,,crossroad,,,,,,,,,,,,,,,,,,,,,,,
2000,6,25,The One with the Proposal,30,Kevin Bright,9.3,4186,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",1,0,0,1,1,1,0,Chandler,,,,,,,,,,,,,Monica,,,Rachel,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,1,The One with Monica's Thunder,22,Kevin Bright,8.4,3022,"The gang celebrate Monica and Chandler's engagement, however Ross and Rachel upstage them by briefly reuniting. Joey tries to dress and act like a nineteen-year-old for an audition.",1,1,1,1,0,1,1,,The Gang,,Monica,,Chandler,,,Ross,,Rachel,,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,2,The One with Rachel's Book,22,Michael Lembeck,8.3,2817,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.",0,1,1,1,1,1,0,Monica,,,,,,,,,,Phoebe,,,,Ross,,,,,,,,Joey,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,3,The One with Phoebe's Cookies,22,Gary Halvorson,8.1,2803,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.",1,1,0,1,1,1,0,Monica,,,,,Phoebe,,,,,,Rachel,,,,Joey,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,4,The One with Rachel's Assistant,22,David Schwimmer,8.1,2820,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".",1,1,0,1,0,1,0,,,,Monica,,Chandler,,,,,,,Rachel,,,,,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,5,The One with the Engagement Picture,22,Gary Halvorson,8.1,2785,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.",1,1,1,1,1,1,0,Chandler,,,,,,,,Monica,,,Joey,,,,,,,,,,Rachel,,Phoebe,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,6,The One with the Nap Partners,22,Gary Halvorson,8.9,3369,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.",0,1,1,1,1,1,0,Joey,,Ross,,,,,,,,,,,,,,,,,Phoebe,,Rachel,,,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,7,The One with Ross's Library Book,22,David Schwimmer,8.5,2856,Ross and Chandler discovers that Ross's book is in the section of the library where students go to have sex. Monica and Chandler run into Janice and she immediately invites herself to the ...                ,2,0,2,0,0,1,0,Ross,,Chandler,,,Ross,,,,,,,,,,,,,,,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,8,The One Where Chandler Doesn't Like Dogs,22,Kevin Bright,8.2,2772,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",1,1,1,1,1,0,0,Ross,,,,,,,,,,Joey,,Rachel,,,,,,,,,Phoebe,,,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,
2000,7,9,The One with All the Candy,22,David Schwimmer,8.1,2753,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",0,0,1,1,1,1,0,Monica,,,,,,,,,Rachel,,,,,,,,,,,Ross,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,10,The One with the Holiday Armadillo,22,Gary Halvorson,8.5,3014,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",0,1,1,2,1,0,0,Ross,,,,,,,,,,,Rachel,,,,,,,,Phoebe,,,,,,Rachel,,,,Joey,,,,,,,,,,,,,,,,,,,,,,
2001,7,11,The One with All the Cheesecakes,22,Gary Halvorson,8.6,2936,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,1,1,0,0,1,0,0,Chandler,,,,,,,,,,,,Phoebe,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,12,The One Where They're Up All Night,22,Kevin Bright,8.7,2983,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",0,0,0,0,0,0,1,,,The Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,13,The One Where Rosita Dies,22,Stephen Prime,8.4,2819,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,0,1,1,1,1,1,0,Rachel,,Joey,,Phoebe,,,,,,,,,Ross,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,14,The One Where They All Turn Thirty,22,Ben Weiss,8.6,2976,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,0,0,0,1,0,0,1,Rachel,,,,,,,,The Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,15,The One with Joey's New Brain,22,Kevin Bright,8.4,2896,"Joey gets an opportunity to rejoin ""Days of Our Lives"" when his comatose character is implanted with the brain of a female character. Joey approaches her to get some advice on how to play ...                ",0,2,0,0,0,0,0,Joey,,,,,,,,,,,,,,,,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,16,The One with the Truth About London,22,David Schwimmer,8.7,2961,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",1,0,1,1,0,1,0,Chandler,,,,,,,Monica,,,,,,,,,,,,,Rachel,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,17,The One with the Cheap Wedding Dress,22,Kevin Bright,8.4,2758,"Monica takes the other girls to an overpriced store to choose her wedding dress, briefing them as if they were in the military since bargain-hunters are far more ruthless then Rachel can ...                ",0,0,0,1,0,1,0,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,
2001,7,18,The One with Joey's Award,22,Gary Halvorson,8.4,2793,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home. Rachel ...                ,0,2,0,2,0,0,0,Joey,,,,,,,,,,,,,,,,Rachel,,,,,,,Joey,,,,,,,,,,,Rachel,,,,,,,,,,,,,,,,,
2001,7,19,The One with Ross and Monica's Cousin,22,Gary Halvorson,8.7,3155,Joey auditions for a naked role in a big movie; Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,0,1,1,1,1,1,0,Joey,,,,,,,,,,Rachel,,Phoebe,,Monica,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,20,The One with Rachel's Big Kiss,22,Gary Halvorson,8.4,2894,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,1,0,1,1,0,0,0,Rachel,,,,,,,,,,,Chandler,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,21,The One with the Vows,22,Gary Halvorson,7.5,2832,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",1,0,0,0,0,1,0,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,22,The One with Chandler's Dad,22,Kevin Bright,8.4,2822,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,2,0,1,1,0,2,0,Ross,,Rachel,,,,,,Monica,,,,,Chandler,,Monica,,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,23,The One with Monica and Chandler's Wedding: Part 1,22,Kevin Bright,8.9,3178,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.",1,1,0,0,0,0,0,,,,,,Chandler,,,,,,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,24,The One with Monica and Chandler's Wedding: Part 2,22,Kevin Bright,9.2,3563,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,1,0,1,1,1,1,0,Ross,,,,Chandler,,Phoebe,,,Rachel,,,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,1,The One After I Do,22,Kevin Bright,8.7,3005,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,2,1,0,1,0,0,1,,The Gang,,,Rachel,,,Joey,,,,,,,,,Chandler,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,2,The One with the Red Sweater,22,David Schwimmer,9.1,3470,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",1,1,1,1,1,1,0,Monica,Phoebe,,Joey,,Rachel,,,,,,,,Chandler,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,3,The One Where Rachel Tells...,22,Sheldon Epps,8.7,2858,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, ...                ",1,0,0,0,0,1,0,,,,,Monica,,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,4,The One with the Videotape,22,Kevin Bright,9.3,4114,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",0,0,2,1,0,0,0,Ross,,Rachel,,,,,,,,,,,,,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,5,The One with Rachel's Date,22,Gary Halvorson,8.1,2703,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him. Rachel has a date with Kash, a co-star on ...                ",0,0,0,1,3,3,0,Phoebe,,Monica,,,,Monica,,,,,Phoebe,,,Phoebe,,,,,Monica,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,6,The One with the Halloween Party,22,Gary Halvorson,8.5,2969,Monica and Chandler are having a costume party for Halloween. Phoebe bumps into Ursula who is getting married in a week and invites her in return for Ursula's invitation for the wedding. ...                ,1,0,0,0,1,1,0,Monica,,Chandler,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,7,The One with the Stain,22,Kevin Bright,7.9,2766,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe.",1,0,0,0,1,1,0,Chandler,,,,,Monica,,,,,,,,,,,,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,8,The One with the Stripper,22,David Schwimmer,8.8,3082,"Chandler finds out that Monica had a bachelorette party with a stripper, even though they promised not to have bachelor/bachelorette parties. Rachel takes Phoebe along to dinner with ...                ",1,0,0,1,1,1,0,Chandler,,,,Monica,,,,,,,,,,,,,,,,,Rachel,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,9,The One with the Rumor,22,Gary Halvorson,9.3,5291,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",0,0,1,1,0,1,0,Monica,,,,,,,,,,Ross,,,,,,,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,10,The One with Monica's Boots,22,Kevin Bright,8.1,2765,"Monica's expensive new boots hurt her feet, but she's determined to prove to Chandler that her purchase was worth it; Ben goes to school with Sting's son.",1,0,0,0,0,1,0,Monica,,,,,,,,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,11,The One with Ross's Step Forward,22,Gary Halvorson,8,2636,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; Monica, Phoebe, and Chandler are addicted to Mrs. Pacman.",1,1,0,1,1,1,0,Joey,,,,Rachel,,,,,,,,,,,,,,,,,,,Monica,Phoebe,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,12,The One Where Joey Dates Rachel,22,David Schwimmer,8.5,2871,Phoebe gives Chandler and Monica a late wedding present: the game Ms Pac-Man. Chandler plays it all day long to be better than Monica and Phoebe. Rachel misses dressing up for romantic ...                ,2,0,0,1,2,2,0,Phoebe,,Chandler,,Monica,,,,,,,,,Chandler,,,,,,,,,,Monica,,Phoebe,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,13,The One Where Chandler Takes a Bath,22,Ben Weiss,8.6,2800,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex.,1,0,1,1,0,1,0,Monica,,Chandler,,,,,,,,,,,Ross,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,14,The One with the Secret Closet,22,Kevin Bright,8.2,2654,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside.",1,0,0,0,0,1,0,Chandler,,,,,,,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,15,The One with the Birthing Video,22,Kevin Bright,8.4,2643,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video.",1,0,0,0,0,0,0,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,16,The One Where Joey Tells Rachel,22,Ben Weiss,8.3,2698,"Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don, who she ...                ",0,1,2,1,1,0,0,Ross,,,,Joey,,,,,,,,,Rachel,,Ross,,,,,,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,
2002,8,17,The One with the Tea Leaves,22,Gary Halvorson,8.1,2674,Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with ...                ,1,0,0,1,0,1,0,Chandler,,Monica,,,,,,,,,,,,,,,,,,,,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,18,The One in Massapequa,22,Gary Halvorson,8.2,2699,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,0,0,0,0,1,1,0,,,,,,,,,,,,Monica,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,19,The One with Joey's Interview,22,Gary Halvorson,7.5,2804,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",0,1,0,0,0,0,0,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,20,The One with the Baby Shower,22,Kevin Bright,8.2,2699,"Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile, Joey auditions for a job as a host for a new game show called ""Bamboozled"", and Chandler and Ross help him practice.",1,1,1,3,1,1,0,Monica,,Phoebe,,Rachel,,,,,,,,Rachel,,Rachel,,,,,,,,,,,,,,,,Joey,,,,,,,,,,,,,,,,Chandler,,Ross,,,
2002,8,21,The One with the Cooking Class,22,Gary Halvorson,8.2,2690,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",0,1,1,1,0,1,0,Monica,,,,,,,,,,,,,,,,,,,,,Joey,,,Rachel,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,
2002,8,22,The One Where Rachel Is Late,22,Gary Halvorson,8.3,2662,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,1,1,0,2,1,1,0,Monica,,Phoebe,,,,Rachel,,,,,,,,,,,,,Rachel,,,,Chandler,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,
2002,8,23,The One Where Rachel Has a Baby: Part 1,22,Kevin Bright,8.8,2906,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - ...                ",0,0,1,2,0,0,0,Ross,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel,,,,,,,,,,,,,,,,,,,,
2002,8,24,The One Where Rachel Has a Baby: Part 2,22,Kevin Bright,8.9,3150,"After Rachel gives birth to her baby, she must confront relationship issues around her.",0,0,0,1,0,0,0,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,1,The One Where No One Proposes,22,Kevin Bright,8.6,2939,Rachel thinks that Joey has proposed to her. Monica and Chandler begin trying to have a baby.,1,1,0,1,0,1,0,Rachel,,,Joey,,,,,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,2,The One Where Emma Cries,22,Sheldon Epps,8.5,2957,"Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.",1,0,0,0,0,0,0,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,3,The One with the Pediatrician,22,Roger Christiansen,8.2,2733,"Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.",1,1,0,0,1,1,0,Joey,,,,,,Phoebe,Chandler,,,,,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,4,The One with the Sharks,22,Ben Weiss,8.2,2764,Monica thinks Chandler is aroused by shark documentaries.,1,0,0,0,0,1,0,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,5,The One with Phoebe's Birthday Dinner,22,David Schwimmer,8.5,2799,"Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.",0,0,0,0,1,0,0,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,6,The One with the Male Nanny,22,Kevin Bright,8.4,2961,"Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.",1,0,1,1,0,1,0,,,,,,Ross,,Rachel,,,,,,,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,7,The One with Ross's Inappropriate Song,22,Gary Halvorson,8.7,2971,"Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.",1,1,1,0,1,0,0,Ross,,,,,,,,,,,,Phoebe,,,,,Joey,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,8,The One with Rachel's Other Sister,22,Kevin Bright,8.8,3273,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,0,0,0,1,0,0,1,Rachel,,,,,,,,,,,,The Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,9,The One with Rachel's Phone Number,22,Ben Weiss,8.2,2702,"Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.",0,0,0,1,1,0,0,Rachel,,,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9,10,The One with Christmas in Tulsa,22,Kevin Bright,7.5,2804,"Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.",2,0,0,0,0,1,0,Chandler,,,,,,,Monica,,,,,,,,,,,,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,9,11,The One Where Rachel Goes Back to Work,22,Gary Halvorson,8,2601,"Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.",1,1,0,1,1,0,0,Chandler,,,,,,,,,,,,,Rachel,,,,,,,,Phoebe,,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,
2003,9,12,The One with Phoebe's Rats,24,Ben Weiss,8,2688,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,0,1,1,1,1,0,0,Ross,,Joey,,,,,,,,,,Phoebe,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,9,13,The One Where Monica Sings,22,Gary Halvorson,8.2,2685,A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,1,1,0,0,0,1,0,,,,,,,,Monica,,,,,,,,Chandler,,,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
