Year_of_prod,Season,Episode Number,Episode_Title,Duration,Director,Stars,Votes,Full Summary,Chandler,Joey,Ross,Rachel,Phoebe,Monica,The Gang,Summary1,Summary2,Summary3,Summary4,Summary5,Summary6,Summary7,Summary8,Summary9,Summary10,Summary11,Summary12,Summary13,Summary14,Summary15,Summary16,Summary17,Summary18,Summary19,Summary20,Summary21,Summary22,Summary23,Summary24,Summary25,Summary26,Summary27,Summary28,Summary29,Summary30,Summary31,Summary32,Summary33,Summary34,Summary35,Summary36,Summary37,Summary38,Summary39,Summary40,Summary41,Summary42,Summary43,Summary44,Summary45,Summary46,Summary47,Summary48,Summary49,Summary50,Summary51,Summary52
1997,4,8,The One with Chandler in a Box,22,Peter Bonerz,9.1,4139,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,1,1,0,1,0,1,0,Chandler,,,,Joey,,,,,,,,,,,Monica,,,,,,,,,,,,,,,,,,,Rachel,,,,,,,,,,,,,,,,,
1997,4,9,The One Where They're Going to Party!,22,Peter Bonerz,7.9,3045,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,1,0,1,1,1,1,0,Monica,,,,,,,,,,,,,,,,,,Phoebe,Rachel,,,,,,,,,,Chandler,,Ross,,,,,,,,,,,,,,,,,,,,
1997,4,10,The One with the Girl from Poughkeepsie,22,Gary Halvorson,8.1,3025,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.",1,1,1,1,0,1,0,,,,,,,,,,,Monica,,Joey,,,,,,,,,,Chandler,,,,,Rachel,,,,,Ross,,,,,,,,,,,,,,,,,,,
1998,4,11,The One with Phoebe's Uterus,22,David Steinberg,8.5,3210,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,1,1,1,1,1,1,0,,,,,,Phoebe,,,,,Joey,,,,,,,,,Ross,,Chandler,,Monica,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,12,The One with the Embryos,22,Kevin Bright,9.5,6006,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.",1,1,0,1,1,1,0,Phoebe,,,,,,,,,,,,,,,Chandler,,Joey,,Monica,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,13,The One with Rachel's Crush,22,Dana De Vally Piazza,8.2,3006,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.",1,0,0,1,0,1,0,,,,,Chandler,,,,,,,,,,,Rachel,,,,,,,,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,14,The One with Joey's Dirty Day,22,Peter Bonerz,8.2,3028,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.",1,1,1,1,0,0,0,Joey,,,,,,,,,,,,,,,,,,Rachel,,,Ross,,,,,,,Chandler,,,,,,,,,,,,,,,,,,,,,,,
1998,4,15,The One with All the Rugby,22,James Burrows,8.5,3180,"Chandler runs into Janice, and finds her more irritating than ever and creates an elaborate plan to break up with her, meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric lighting switch.",1,0,1,0,0,1,0,Chandler,,,,,,,,,,,,,,,,,,,,,,Ross,,,,,,,,,,,,Monica,,,,,,,,,,,,,,,,,
1998,4,16,The One with the Fake Party,22,Michael Lembeck,8.2,3061,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,0,0,0,1,1,0,0,Rachel,,,,,,,,,,,,,,,,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,17,The One with the Free Porn,22,Michael Lembeck,8.6,3212,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,1,1,1,0,1,1,0,Chandler,,Joey,,,,,,,,,,,,Monica,,Ross,,,,,,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,
1998,4,18,The One with Rachel's New Dress,22,Gail Mancuso,8.3,3011,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,0,0,1,1,1,0,0,Rachel,,,,,,,,Phoebe,,,,,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,19,The One with All the Haste,22,Kevin Bright,8.7,3168,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,1,1,1,1,0,1,0,Ross,,,,Monica,,Rachel,,,,,,,,Chandler,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,20,The One with All the Wedding Dresses,22,Gail Mancuso,8.5,3110,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.",1,1,1,1,0,1,0,Monica,,,,,,,,,,,,,Ross,,,,Rachel,,,,,,,Chandler,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,21,The One with the Invitation,22,Peter Bonerz,7.2,3364,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",1,1,1,1,0,0,0,,Ross,,,,,,,,,Rachel,,,,,,,,,Joey,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,22,The One with the Worst Best Man Ever,22,Peter Bonerz,8.5,3052,"at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.",1,2,1,1,1,1,0,,,Ross,,Joey,,,,,,,,,,,,,,,,,,,Joey,,Chandler,,,,,Phoebe,,,,Monica,,Rachel,,,,,,,,,,,,,,,
1998,4,23,The One with Ross's Wedding,30,Kevin Bright,8.7,3343,"Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding, while someone else unexpectedly shows up to the wedding.",0,0,2,1,1,0,1,Phoebe,,,,Rachel,,,,,,Ross,,,,,,The Gang,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,24,The One with Ross's Wedding,30,Kevin Bright,9.2,4217,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,1,0,2,1,1,1,1,Phoebe,,,,,The Gang,,Rachel,,,,,,,Ross,,,,,Ross,,,,,,,,,,,,,,Monica,,Chandler,,,,,,,,,,,,,,,,
1998,5,1,The One After Ross Says Rachel,22,Kevin Bright,8.9,3609,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",1,0,1,1,0,1,0,,,,,,,Ross,,Rachel,,,,,,Chandler,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,2,The One with All the Kissing,22,Gary Halvorson,9,3674,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,1,0,1,1,1,2,1,Chandler,,,,,,,,,,,,,,Monica,,,,,Phoebe,,,,,The Gang,,,,,Rachel,,Monica,,,,,,,Ross,,,,,,,,,,,,,
1998,5,3,The One Hundredth,22,Kevin Bright,8.8,3331,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",1,1,0,0,1,1,1,,The Gang,,Phoebe,,,,,,,,,Monica,,,,,,,,,,,,Chandler,,,,,Joey,,,,,,,,,,,,,,,,,,,,,,
1998,5,4,The One Where Phoebe Hates PBS,22,Shelley Jensen,8.3,2995,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,1,1,1,1,1,1,0,Ross,,,,,,,,,,,,,,Chandler,,,Rachel,,,Monica,,,,,,,,,,Phoebe,,Joey,,,,,,,,,,,,,,,,,,,
1998,5,5,The One with the Kips,22,Dana De Vally Piazza,8.8,3215,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,1,0,1,1,0,1,0,Chandler,,Monica,,,,,,,,,,,,Ross,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,6,The One with the Yeti,22,Gary Halvorson,8.1,3001,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,0,0,1,1,1,1,1,,The Gang,,,,,,,Ross,Monica,,Rachel,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,7,The One Where Ross Moves In,22,Gary Halvorson,8.4,3029,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,1,1,1,1,1,0,0,Ross,,,,Chandler,,Joey,,,,,,,,,,Phoebe,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,8,The One with All the Thanksgivings,22,Kevin Bright,9.2,4261,The gang remember and share with each other their worst Thanksgivings.,0,0,0,0,0,0,1,,The Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
